Date,Open,High,Low,Close,Adj Close,Volume,Pivot_1,Pivot_2,Pivot_3,Pivot_4,Pivot_5,feature_rsi,feature_vwap,feature_ema,feature_atr
2022-01-18 14:30:00,35428.4609375,35527.1015625,35366.71875,35403.4296875,35403.4296875,38366472,0,0,0,0,1,31.8350560302392,36245.86807629622,35976.69697246187,194.75167410714286
2022-01-18 15:30:00,35403.48828125,35422.94921875,35305.87109375,35387.41015625,35387.41015625,54198120,0,0,0,0,0,31.347552668662956,36228.587376438554,35952.47491497644,189.88643973214286
2022-01-19 09:30:00,35412.30078125,35547.828125,35273.30859375,35275.6015625,35275.6015625,0,0,0,0,0,0,28.074196426401613,36228.587376438554,35924.705137319135,179.13002232142858
2022-01-19 10:30:00,35274.98046875,35376.7109375,35262.890625,35350.3203125,35350.3203125,56153972,0,0,0,0,-1,33.16227995320443,36210.544163292725,35901.18270613802,175.20982142857142
2022-01-19 11:30:00,35353.0703125,35500.66015625,35296.921875,35463.58984375,35463.58984375,42647002,0,0,0,0,0,40.162547972388495,36198.67588258201,35883.29330130015,179.83900669642858
2022-01-19 12:30:00,35463.6796875,35476.171875,35357.9609375,35359.12109375,35359.12109375,31823569,0,0,0,0,1,36.33372870882643,36189.79844293174,35861.90004725472,173.88253348214286
2022-01-19 13:30:00,35359.51171875,35387.44921875,35183.171875,35183.7109375,35183.7109375,31320192,0,0,0,0,0,30.9322568821283,36179.67270627747,35834.26499169915,179.673828125
2022-01-19 14:30:00,35183.109375,35296.5,35164.859375,35206.671875,35206.671875,38367657,0,0,0,0,0,32.36800348083233,36167.187170539,35808.730771197304,177.66238839285714
2022-01-19 15:30:00,35206.51953125,35208.87890625,35015.48828125,35035.41015625,35035.41015625,52529399,0,0,0,-1,-1,27.685167661491292,36148.2241179508,35777.3136806998,183.85295758928572
2022-01-20 09:30:00,35102.66015625,35396.51953125,35102.66015625,35314.69140625,35314.69140625,0,0,0,0,0,0,42.48736873298534,36148.2241179508,35758.54556115177,168.17215401785714
2022-01-20 10:30:00,35313.609375,35490.19921875,35313.33984375,35444.1796875,35444.1796875,40264121,0,0,0,1,1,47.883149841035056,36138.50430326388,35745.80929047819,173.60853794642858
2022-01-20 11:30:00,35442.76171875,35467.921875,35346.1484375,35382.25,35382.25,31650639,0,0,0,0,0,45.64867119416157,36130.8661442645,35731.099090502255,172.62751116071428
2022-01-20 12:30:00,35382.421875,35412.62109375,35265.078125,35291.0,35291.0,28841811,0,0,0,0,0,42.46350647462369,36123.3346522242,35713.314124769335,175.61830357142858
2022-01-20 13:30:00,35291.23046875,35340.671875,35198.9609375,35201.46875,35201.46875,31240444,0,0,0,0,0,39.51250987069045,36114.57528740066,35692.6545005847,176.14676339285714
2022-01-20 14:30:00,35201.23828125,35202.1484375,34984.19140625,35006.44140625,35006.44140625,43872945,0,0,0,0,0,33.91213158137077,36100.03528867194,35664.988610918146,180.25920758928572
2022-01-20 15:30:00,35006.62890625,35007.640625,34670.12109375,34707.21875,34707.21875,65429674,0,0,0,0,0,27.40971493325246,36073.63720677357,35626.41690221101,196.00502232142858
2022-01-21 09:30:00,34701.69140625,34786.4609375,34449.01953125,34580.28125,34580.28125,0,0,0,0,0,-1,25.175703704858293,36073.63720677357,35584.3309629421,200.49944196428572
2022-01-21 10:30:00,34582.4609375,34896.671875,34556.359375,34846.4296875,34846.4296875,69160910,0,0,0,0,1,36.932956270876296,36046.273716135474,35554.67534109567,216.67745535714286
2022-01-21 11:30:00,34845.5703125,34845.5703125,34559.41015625,34607.96875,34607.96875,51825189,0,0,0,0,0,32.015844742975816,36025.03339901848,35516.665013512844,222.62611607142858
2022-01-21 12:30:00,34607.6015625,34641.26171875,34453.6015625,34492.0390625,34492.0390625,42029521,0,0,0,0,0,29.90432125982734,36006.526868434696,35475.56462203544,227.58677455357142
2022-01-21 13:30:00,34491.19921875,34616.8203125,34438.87109375,34444.2890625,34444.2890625,39059769,0,0,0,0,0,29.04362668015331,35989.40449132631,35434.23456630731,225.70619419642858
2022-01-21 14:30:00,34441.44140625,34510.5390625,34229.55078125,34260.62890625,34260.62890625,54058640,0,0,0,0,0,25.914082481595386,35963.762086742936,35387.240858121455,236.37388392857142
2022-01-21 15:30:00,34258.94921875,34433.828125,34254.109375,34268.5703125,34268.5703125,72509816,0,0,0,0,0,26.288740558950025,35930.28928895768,35342.48386127761,235.39732142857142
2022-01-24 09:30:00,34070.609375,34070.609375,33444.96875,33657.9296875,33657.9296875,0,0,0,0,0,-1,18.45853064744165,35930.28928895768,35275.13980364227,268.43247767857144
2022-01-24 10:30:00,33659.08984375,33848.640625,33531.48828125,33593.3515625,33593.3515625,75581709,0,0,0,0,1,17.84531102382337,35883.08878259874,35207.957492896334,278.45340401785717
2022-01-24 11:30:00,33593.48046875,33621.3515625,33150.328125,33274.94140625,33274.94140625,82805125,0,-1,-1,-1,-1,15.139906817444881,35826.70398757818,35130.7958215022,303.3998325892857
2022-01-24 12:30:00,33274.08984375,33645.8984375,33171.78125,33465.66015625,33465.66015625,72056249,0,0,0,0,0,22.788556205925374,35781.140039113,35064.37396937183,326.7265625
2022-01-24 13:30:00,33463.16015625,33885.109375,33453.19140625,33594.2109375,33594.2109375,63242063,0,0,0,0,0,27.587697078567743,35746.100572852134,35005.7690313312,347.4556361607143
2022-01-24 14:30:00,33594.33984375,33952.6484375,33434.05859375,33901.37890625,33901.37890625,62033413,0,0,0,0,0,37.68417580498516,35714.70554284995,34961.77333006177,368.92940848214283
2022-01-24 15:30:00,33903.6484375,34420.98828125,33850.80859375,34375.6015625,34375.6015625,82448343,0,0,0,1,1,49.5348725161276,35683.82121296199,34938.4364478767,385.54799107142856
2022-01-25 09:30:00,34186.640625,34186.640625,33545.51953125,33980.0703125,33980.0703125,0,0,0,0,-1,-1,42.227977242041895,35683.82121296199,34900.30438150314,420.73660714285717
2022-01-25 10:30:00,33986.25,34128.4609375,33850.08984375,34063.87109375,34063.87109375,59857879,0,0,0,0,0,44.13271514911923,35659.21254828157,34867.0429115506,416.31222098214283
2022-01-25 11:30:00,34063.8984375,34121.828125,33857.8984375,34092.6796875,34092.6796875,49146500,0,0,0,0,0,44.815055127117944,35639.662841135134,34836.266641240174,414.66294642857144
2022-01-25 12:30:00,34092.91015625,34168.05859375,33924.96875,34154.8203125,34154.8203125,40266738,0,0,0,0,0,46.35675698539603,35624.55773223224,34809.19755762824,418.62220982142856
2022-01-25 13:30:00,34154.33984375,34431.55859375,34131.44140625,34397.0390625,34397.0390625,54522892,0,0,0,0,0,52.052688345712376,35607.643748148876,34792.83369251157,427.34849330357144
2022-01-25 14:30:00,34395.98828125,34591.0390625,34301.5390625,34309.41015625,34309.41015625,61981673,0,0,0,1,1,49.95909431305226,35590.112316274164,34773.64974810477,427.9564732142857
2022-01-25 15:30:00,34315.390625,34412.46875,34221.4609375,34310.19140625,34310.19140625,66991597,0,0,0,-1,-1,49.97866183427219,35570.39911518069,34755.26669285183,428.76283482142856
2022-01-26 09:30:00,34520.8203125,34815.671875,34462.37890625,34498.7109375,34498.7109375,0,0,0,1,1,1,54.64709011108919,35570.39911518069,34745.094989668534,406.03989955357144
2022-01-26 10:30:00,34499.05078125,34669.2109375,34378.55078125,34639.83984375,34639.83984375,57489482,0,0,0,0,-1,57.859034739360254,35557.2057119788,34740.92372338513,404.14760044642856
2022-01-26 11:30:00,34642.30078125,34682.37890625,34548.2890625,34676.2109375,34676.2109375,41653298,0,0,0,0,0,58.68172066311679,35548.547096445494,34738.36021491312,380.08091517857144
2022-01-26 12:30:00,34677.390625,34689.37109375,34552.359375,34598.80078125,34598.80078125,38693461,0,0,0,0,0,56.13717479871886,35540.45690976503,34732.83395804461,356.001953125
